,acad_plan_descr,course_average_grade5
0,Accounting & Financial Mgt,81.51071098
1,Actuarial Science,81.73845962
2,Anthropology,81.21693122
3,Applied Mathematics,79.57485769
4,Arts & Business,78.1068051
5,Biology,77.32713773
6,Chemical Engineering,78.41928456
7,Chemistry,75.54844596
8,Civil Engineering,78.90937118
9,Computer Engineering,75.88820797
10,Computer Science,75.10629478
11,Economics,76.90300651
12,Electrical Engineering,75.46340039
13,English Literature,82.6122783
14,Environmental Engineering,77.8589806
15,Fine Arts,82.23905419
16,Geological Engineering,75.37986008
17,Health Studies,81.29766408
18,Kinesiology,79.48460131
19,Management Engineering,75.56367119
20,Mathematics,69.4054177
21,Mechanical Engineering,76.3474845
22,Mechatronics Engineering,78.45096407
23,Nanotechnology Engineering,81.47455083
24,Political Science,79.37216632
25,Psychology,82.25816209
26,Science & Business,77.74663917
27,Sociology,78.01435012
28,Software Engineering,78.88118009
29,Statistics,71.70420556
30,Systems Design Engineering,76.69019235
